"Country.Name","Program.Name","FY2010"
"Dominican Republic","Child Survival and Health",NA
"Dominican Republic","Department of Defense Security Assistance",NA
"Dominican Republic","Development Assistance",26921711
"Dominican Republic","Economic Support Fund/Security Support Assistance",5400000
"Dominican Republic","Food For Education",NA
"Dominican Republic","Global HIV/AIDS Initiative",56060
"Dominican Republic","Global Health and Child Survival",22044853
"Dominican Republic","Inactive Programs",NA
"Dominican Republic","Migration and Refugee Assistance",2e+06
"Dominican Republic","Millennium Challenge Corporation",NA
"Dominican Republic","Narcotics Control",7724005
"Dominican Republic","Nonproliferation, Anti-Terrorism, Demining and Related",212180
"Dominican Republic","Other Active Grant Programs",4558777
"Dominican Republic","Other Food Aid Programs",NA
"Dominican Republic","Other State Assistance",NA
"Dominican Republic","Other USAID Assistance",6642133
"Dominican Republic","Other USDA Assistance",27600
"Dominican Republic","Peace Corps",4341200
"Dominican Republic","Title I",8195752
"Dominican Republic","Title II",124200
"East Africa (not specified)","Child Survival and Health",NA
"East Africa (not specified)","Development Assistance",18449
"East Africa (not specified)","Economic Support Fund/Security Support Assistance",175000
"East Africa (not specified)","Global HIV/AIDS Initiative",NA
"East Africa (not specified)","Migration and Refugee Assistance",NA
"East Africa (not specified)","Other Active Grant Programs",76505
"East Africa (not specified)","Other State Assistance",670000
"East Africa (not specified)","Other USAID Assistance",1946945
"East Africa (not specified)","Title I",NA
"East Africa (not specified)","Title II",1500000
"Eastern Europe (not specified)","Child Survival and Health",NA
"Eastern Europe (not specified)","Development Assistance",168150
"Eastern Europe (not specified)","Economic Support Fund/Security Support Assistance",NA
"Eastern Europe (not specified)","Global Health and Child Survival",4e+05
"Eastern Europe (not specified)","Inactive Programs",NA
"Eastern Europe (not specified)","Migration and Refugee Assistance",NA
"Eastern Europe (not specified)","Narcotics Control",152827
"Eastern Europe (not specified)","Nonproliferation, Anti-Terrorism, Demining and Related",NA
"Eastern Europe (not specified)","Other Active Grant Programs",6855540
"Eastern Europe (not specified)","Other Food Aid Programs",NA
"Eastern Europe (not specified)","Other State Assistance",NA
"Eastern Europe (not specified)","Other USAID Assistance",14031642
"Eastern Europe (not specified)","Peace Corps",NA
"Eastern Europe (not specified)","Title II",NA
"Eastern Europe (not specified)","Voluntary Contributions to Multilateral Organizations, Total",NA
"Ecuador","Child Survival and Health",NA
"Ecuador","Department of Defense Security Assistance",15000
"Ecuador","Development Assistance",21885409
"Ecuador","Economic Support Fund/Security Support Assistance",923203
"Ecuador","Global Health and Child Survival",NA
"Ecuador","Inactive Programs",NA
"Ecuador","Migration and Refugee Assistance",5e+05
"Ecuador","Narcotics Control",7498779
"Ecuador","Nonproliferation, Anti-Terrorism, Demining and Related",905466
"Ecuador","Other Active Grant Programs",1309765
"Ecuador","Other Food Aid Programs",NA
"Ecuador","Other State Assistance",952881
"Ecuador","Other USAID Assistance",3353459
"Ecuador","Other USDA Assistance",92000
"Ecuador","Peace Corps",3857500
"Ecuador","Title I",NA
"Ecuador","Title II",965000
"Egypt","Child Survival and Health",NA
"Egypt","Development Assistance",8353102
"Egypt","Economic Support Fund/Security Support Assistance",347386381
"Egypt","Global Health and Child Survival",NA
"Egypt","Inactive Programs",NA
"Egypt","Migration and Refugee Assistance",2782885
"Egypt","Narcotics Control",2414776
"Egypt","Nonproliferation, Anti-Terrorism, Demining and Related",3090150
"Egypt","Other Active Grant Programs",14986606
"Egypt","Other Food Aid Programs",NA
"Egypt","Other State Assistance",2585417
"Egypt","Other USAID Assistance",15228976
"Egypt","Other USDA Assistance",164703
"Egypt","Title I",NA
"Egypt","Title II",NA
"El Salvador","Child Survival and Health",NA
"El Salvador","Department of Defense Security Assistance",1347
"El Salvador","Development Assistance",26088331
"El Salvador","Economic Support Fund/Security Support Assistance",38483899
"El Salvador","Food For Education",NA
"El Salvador","Global Health and Child Survival",6638877
"El Salvador","Inactive Programs",NA
"El Salvador","Migration and Refugee Assistance",1e+05
"El Salvador","Millennium Challenge Corporation",22162477
"El Salvador","Narcotics Control",3649438
"El Salvador","Nonproliferation, Anti-Terrorism, Demining and Related",NA
"El Salvador","Other Active Grant Programs",12054634
"El Salvador","Other Food Aid Programs",NA
"El Salvador","Other State Assistance",43430
"El Salvador","Other USAID Assistance",12379861
"El Salvador","Other USDA Assistance",23081
"El Salvador","Peace Corps",3334600
"El Salvador","Title I",NA
"El Salvador","Title II",NA
"Equatorial Guinea","Development Assistance",NA
"Equatorial Guinea","Economic Support Fund/Security Support Assistance",NA
"Equatorial Guinea","Other Active Grant Programs",96308
"Equatorial Guinea","Other Food Aid Programs",NA
"Equatorial Guinea","Other State Assistance",28835
"Equatorial Guinea","Other USAID Assistance",NA
"Equatorial Guinea","Peace Corps",NA
"Equatorial Guinea","Title II",NA
"Eritrea","Child Survival and Health",NA
"Eritrea","Department of Defense Security Assistance",NA
"Eritrea","Development Assistance",30500
"Eritrea","Economic Support Fund/Security Support Assistance",NA
"Eritrea","Food For Education",NA
"Eritrea","Migration and Refugee Assistance",NA
"Eritrea","Nonproliferation, Anti-Terrorism, Demining and Related",NA
"Eritrea","Other Active Grant Programs",NA
"Eritrea","Other Food Aid Programs",NA
"Eritrea","Other State Assistance",49920
"Eritrea","Other USAID Assistance",35000
"Eritrea","Peace Corps",NA
"Eritrea","Title I",NA
"Eritrea","Title II",NA
"Estonia","Department of Defense Security Assistance",199941
"Estonia","Global HIV/AIDS Initiative",NA
"Estonia","Narcotics Control",NA
"Estonia","Nonproliferation, Anti-Terrorism, Demining and Related",370000
"Estonia","Other Active Grant Programs",6503389
"Estonia","Other State Assistance",NA
"Estonia","Other USAID Assistance",NA
"Estonia","Peace Corps",NA
"Estonia","Title I",NA
"Ethiopia","Child Survival and Health",NA
"Ethiopia","Department of Defense Security Assistance",NA
"Ethiopia","Development Assistance",86307046
"Ethiopia","Economic Support Fund/Security Support Assistance",1273367
"Ethiopia","Food For Education",3305487
"Ethiopia","Global HIV/AIDS Initiative",3649573
"Ethiopia","Global Health and Child Survival",325995728
"Ethiopia","Inactive Programs",NA
"Ethiopia","Migration and Refugee Assistance",19100000
"Ethiopia","Narcotics Control",NA
"Ethiopia","Nonproliferation, Anti-Terrorism, Demining and Related",1000164
"Ethiopia","Other Active Grant Programs",6985947
"Ethiopia","Other Food Aid Programs",NA
"Ethiopia","Other State Assistance",724484
"Ethiopia","Other USAID Assistance",32124054
"Ethiopia","Other USDA Assistance",26615
"Ethiopia","Peace Corps",2062900
"Ethiopia","Title I",12103952
"Ethiopia","Title II",486834797
"Eurasia (not specified)","Child Survival and Health",NA
"Eurasia (not specified)","Department of Defense Security Assistance",NA
"Eurasia (not specified)","Development Assistance",71000
"Eurasia (not specified)","Economic Support Fund/Security Support Assistance",1207148
"Eurasia (not specified)","Global HIV/AIDS Initiative",NA
"Eurasia (not specified)","Global Health and Child Survival",11169017
"Eurasia (not specified)","Inactive Programs",NA
"Eurasia (not specified)","Migration and Refugee Assistance",NA
"Eurasia (not specified)","Narcotics Control",1990500
"Eurasia (not specified)","Nonproliferation, Anti-Terrorism, Demining and Related",NA
"Eurasia (not specified)","Other Active Grant Programs",160881
"Eurasia (not specified)","Other Food Aid Programs",NA
"Eurasia (not specified)","Other State Assistance",678570
"Eurasia (not specified)","Other USAID Assistance",31009704
"Eurasia (not specified)","Other USDA Assistance",NA
"Eurasia (not specified)","Peace Corps",NA
"Eurasia (not specified)","Title I",NA
"Eurasia (not specified)","Title II",NA
"Fiji","Economic Support Fund/Security Support Assistance",131230
"Fiji","Narcotics Control",NA
"Fiji","Other Active Grant Programs",NA
"Fiji","Other State Assistance",NA
"Fiji","Other USAID Assistance",1e+05
"Fiji","Peace Corps",1985800
"Finland","Inactive Programs",NA
"Finland","Other USAID Assistance",NA
"Finland","Title I",NA
"Finland","Title II",NA
"France","Economic Support Fund/Security Support Assistance",NA
"France","Inactive Programs",NA
"France","Other Active Grant Programs",1631460
"France","Other USAID Assistance",NA
"France","Title I",NA
"France","Title II",NA
"Gabon","Department of Defense Security Assistance",NA
"Gabon","Development Assistance",25000
"Gabon","Economic Support Fund/Security Support Assistance",NA
"Gabon","Global HIV/AIDS Initiative",NA
"Gabon","Migration and Refugee Assistance",NA
"Gabon","Millennium Challenge Corporation",NA
"Gabon","Narcotics Control",NA
"Gabon","Nonproliferation, Anti-Terrorism, Demining and Related",63000
"Gabon","Other Active Grant Programs",1089226
"Gabon","Other State Assistance",17000
"Gabon","Other USAID Assistance",NA
"Gabon","Peace Corps",NA
"Gabon","Title II",NA
"Gambia, The","Department of Defense Security Assistance",230000
"Gambia, The","Development Assistance",40000
"Gambia, The","Economic Support Fund/Security Support Assistance",NA
"Gambia, The","Food For Education",NA
"Gambia, The","Global HIV/AIDS Initiative",NA
"Gambia, The","Migration and Refugee Assistance",240000
"Gambia, The","Millennium Challenge Corporation",NA
"Gambia, The","Other Active Grant Programs",273819
"Gambia, The","Other Food Aid Programs",NA
"Gambia, The","Other State Assistance",41540
"Gambia, The","Other USAID Assistance",NA
"Gambia, The","Other USDA Assistance",37130
"Gambia, The","Peace Corps",2381900
"Gambia, The","Title I",4084051
"Gambia, The","Title II",NA
"Georgia","Child Survival and Health",NA
"Georgia","Department of Defense Security Assistance",249000
"Georgia","Development Assistance",NA
"Georgia","Economic Support Fund/Security Support Assistance",1290110
"Georgia","Food For Education",NA
"Georgia","Global HIV/AIDS Initiative",NA
"Georgia","Global Health and Child Survival",2200000
"Georgia","Migration and Refugee Assistance",405218
"Georgia","Millennium Challenge Corporation",23015836
"Georgia","Narcotics Control",13595291
"Georgia","Nonproliferation, Anti-Terrorism, Demining and Related",4573823
"Georgia","Other Active Grant Programs",9081984
"Georgia","Other Food Aid Programs",NA
"Georgia","Other State Assistance",8181819
"Georgia","Other USAID Assistance",354045958
"Georgia","Other USDA Assistance",1626032
"Georgia","Peace Corps",1773000
"Georgia","Title I",NA
"Georgia","Title II",NA
"Germany","Economic Support Fund/Security Support Assistance",NA
"Germany","Inactive Programs",NA
"Germany","Migration and Refugee Assistance",NA
"Germany","Millennium Challenge Corporation",NA
"Germany","Other Active Grant Programs",5371
"Germany","Other USAID Assistance",NA
"Germany","Title II",NA
"Ghana","Child Survival and Health",NA
"Ghana","Department of Defense Security Assistance",460526
"Ghana","Development Assistance",74107690
"Ghana","Economic Support Fund/Security Support Assistance",32056116
"Ghana","Food For Education",NA
"Ghana","Global HIV/AIDS Initiative",19847
"Ghana","Global Health and Child Survival",75404079
"Ghana","Migration and Refugee Assistance",1850000
"Ghana","Millennium Challenge Corporation",49403684
"Ghana","Narcotics Control",1290996
"Ghana","Nonproliferation, Anti-Terrorism, Demining and Related",75000
"Ghana","Other Active Grant Programs",4868694
"Ghana","Other Food Aid Programs",NA
"Ghana","Other State Assistance",209900
"Ghana","Other USAID Assistance",4860455
"Ghana","Other USDA Assistance",309991
"Ghana","Peace Corps",3551600
"Ghana","Title I",NA
"Ghana","Title II",NA
"Greece","Economic Support Fund/Security Support Assistance",NA
"Greece","Inactive Programs",NA
"Greece","Narcotics Control",NA
"Greece","Nonproliferation, Anti-Terrorism, Demining and Related",NA
"Greece","Other Active Grant Programs",188259
"Greece","Other USAID Assistance",NA
"Greece","Other USDA Assistance",81
"Greece","Title I",NA
"Greece","Title II",NA
"Grenada","Economic Support Fund/Security Support Assistance",NA
"Grenada","Narcotics Control",NA
"Grenada","Other Active Grant Programs",250
"Grenada","Other State Assistance",NA
"Grenada","Other USAID Assistance",NA
"Guatemala","Child Survival and Health",NA
"Guatemala","Department of Defense Security Assistance",111000
"Guatemala","Development Assistance",40923695
"Guatemala","Economic Support Fund/Security Support Assistance",8399124
"Guatemala","Food For Education",6778520
"Guatemala","Global Health and Child Survival",14600000
"Guatemala","Inactive Programs",NA
"Guatemala","Migration and Refugee Assistance",NA
"Guatemala","Narcotics Control",25783020
"Guatemala","Nonproliferation, Anti-Terrorism, Demining and Related",250000
"Guatemala","Other Active Grant Programs",3769888
"Guatemala","Other Food Aid Programs",1751205
"Guatemala","Other State Assistance",1684586
"Guatemala","Other USAID Assistance",7496101
"Guatemala","Other USDA Assistance",22500
"Guatemala","Peace Corps",4976800
"Guatemala","Title I",NA
"Guatemala","Title II",43190500
"Guinea","Child Survival and Health",4e+05
"Guinea","Department of Defense Security Assistance",99
"Guinea","Development Assistance",9187000
"Guinea","Economic Support Fund/Security Support Assistance",647500
"Guinea","Food For Education",NA
"Guinea","Global HIV/AIDS Initiative",NA
"Guinea","Global Health and Child Survival",6140000
"Guinea","Migration and Refugee Assistance",7e+05
"Guinea","Narcotics Control",1266548
"Guinea","Nonproliferation, Anti-Terrorism, Demining and Related",NA
"Guinea","Other Active Grant Programs",2153894
"Guinea","Other Food Aid Programs",NA
"Guinea","Other State Assistance",1799324
"Guinea","Other USAID Assistance",2663630
"Guinea","Peace Corps",1832500
"Guinea","Title I",NA
"Guinea","Title II",NA
"Guinea-Bissau","Department of Defense Security Assistance",49939
"Guinea-Bissau","Development Assistance",20000
"Guinea-Bissau","Economic Support Fund/Security Support Assistance",NA
"Guinea-Bissau","Food For Education",5815419
"Guinea-Bissau","Narcotics Control",645601
"Guinea-Bissau","Nonproliferation, Anti-Terrorism, Demining and Related",1e+06
"Guinea-Bissau","Other Active Grant Programs",330792
"Guinea-Bissau","Other Food Aid Programs",NA
"Guinea-Bissau","Other State Assistance",NA
"Guinea-Bissau","Other USAID Assistance",NA
"Guinea-Bissau","Peace Corps",NA
"Guinea-Bissau","Title II",NA
"Guyana","Child Survival and Health",NA
"Guyana","Development Assistance",4824975
"Guyana","Economic Support Fund/Security Support Assistance",NA
"Guyana","Global HIV/AIDS Initiative",556173
"Guyana","Global Health and Child Survival",9997185
"Guyana","Millennium Challenge Corporation",21620
"Guyana","Narcotics Control",NA
"Guyana","Other Active Grant Programs",881223
"Guyana","Other Food Aid Programs",NA
"Guyana","Other State Assistance",NA
"Guyana","Other USAID Assistance",946385
"Guyana","Peace Corps",1931000
"Guyana","Title I",NA
"Guyana","Title II",NA
"Haiti","Child Survival and Health",NA
"Haiti","Department of Defense Security Assistance",421403304
"Haiti","Development Assistance",3461696
"Haiti","Economic Support Fund/Security Support Assistance",195668328
"Haiti","Global HIV/AIDS Initiative",596670
"Haiti","Global Health and Child Survival",135572677
"Haiti","Inactive Programs",NA
"Haiti","Migration and Refugee Assistance",6299690
"Haiti","Narcotics Control",21525933
"Haiti","Other Active Grant Programs",6402494
"Haiti","Other Food Aid Programs",NA
"Haiti","Other State Assistance",1769484
"Haiti","Other USAID Assistance",445312336
"Haiti","Peace Corps",NA
"Haiti","Title I",NA
"Haiti","Title II",168332500
"Haiti","Voluntary Contributions to Multilateral Organizations, Total",NA
"Honduras","Child Survival and Health",NA
"Honduras","Department of Defense Security Assistance",NA
"Honduras","Development Assistance",61174036
"Honduras","Economic Support Fund/Security Support Assistance",9750000
"Honduras","Food For Education",NA
"Honduras","Global HIV/AIDS Initiative",24320
"Honduras","Global Health and Child Survival",19088328
"Honduras","Inactive Programs",NA
"Honduras","Migration and Refugee Assistance",NA
"Honduras","Millennium Challenge Corporation",6620683
"Honduras","Narcotics Control",3913692
"Honduras","Other Active Grant Programs",2998370
"Honduras","Other Food Aid Programs",NA
"Honduras","Other State Assistance",730000
"Honduras","Other USAID Assistance",4451997
"Honduras","Other USDA Assistance",46687
"Honduras","Peace Corps",3820700
"Honduras","Title I",NA
"Honduras","Title II",124761
"Hungary","Development Assistance",NA
"Hungary","Inactive Programs",NA
"Hungary","Narcotics Control",146231
"Hungary","Nonproliferation, Anti-Terrorism, Demining and Related",2650
"Hungary","Other Active Grant Programs",8348057
"Hungary","Other State Assistance",NA
"Hungary","Other USAID Assistance",236671
"Hungary","Peace Corps",NA
"Hungary","Title II",NA
"Iceland","Economic Support Fund/Security Support Assistance",NA
"Iceland","Inactive Programs",NA
"Iceland","Other Active Grant Programs",83
"Iceland","Other USAID Assistance",NA
"Iceland","Title I",NA
"India","Child Survival and Health",NA
"India","Department of Defense Security Assistance",NA
"India","Development Assistance",21368939
"India","Economic Support Fund/Security Support Assistance",15780629
"India","Global HIV/AIDS Initiative",98854
"India","Global Health and Child Survival",77113789
"India","Inactive Programs",NA
"India","Migration and Refugee Assistance",1525000
"India","Narcotics Control",NA
"India","Nonproliferation, Anti-Terrorism, Demining and Related",1114967
"India","Other Active Grant Programs",16247261
"India","Other Food Aid Programs",NA
"India","Other State Assistance",75437
"India","Other USAID Assistance",7687977
"India","Other USDA Assistance",240779
"India","Peace Corps",NA
"India","Title I",NA
"India","Title II",3917700
"Indonesia","Child Survival and Health",NA
"Indonesia","Department of Defense Security Assistance",4448000
"Indonesia","Development Assistance",68253690
"Indonesia","Economic Support Fund/Security Support Assistance",142318622
"Indonesia","Global HIV/AIDS Initiative",52565
"Indonesia","Global Health and Child Survival",42995513
"Indonesia","Inactive Programs",NA
"Indonesia","Migration and Refugee Assistance",NA
"Indonesia","Millennium Challenge Corporation",1431597
"Indonesia","Narcotics Control",9144999
"Indonesia","Nonproliferation, Anti-Terrorism, Demining and Related",10253071
"Indonesia","Other Active Grant Programs",8854296
"Indonesia","Other Food Aid Programs",NA
"Indonesia","Other State Assistance",1783528
"Indonesia","Other USAID Assistance",21410317
"Indonesia","Other USDA Assistance",452257
"Indonesia","Peace Corps",1251600
"Indonesia","Title I",NA
"Indonesia","Title II",NA
"Iran","Economic Support Fund/Security Support Assistance",NA
"Iran","Inactive Programs",NA
"Iran","Migration and Refugee Assistance",NA
"Iran","Other Active Grant Programs",NA
"Iran","Other State Assistance",1231813
"Iran","Other USAID Assistance",NA
"Iran","Peace Corps",NA
"Iran","Title I",NA
"Iran","Title II",NA
"Iraq","Child Survival and Health",NA
"Iraq","Department of Defense Security Assistance",383850578
"Iraq","Development Assistance",18864
"Iraq","Economic Support Fund/Security Support Assistance",311172849
"Iraq","Inactive Programs",NA
"Iraq","Migration and Refugee Assistance",82318329
"Iraq","Narcotics Control",116803861
"Iraq","Nonproliferation, Anti-Terrorism, Demining and Related",49821087
"Iraq","Other Active Grant Programs",4989522
"Iraq","Other Food Aid Programs",NA
"Iraq","Other State Assistance",34544009
"Iraq","Other USAID Assistance",98230849
"Iraq","Other USDA Assistance",138703
"Iraq","Title I",NA
"Iraq","Title II",NA
"Ireland","Economic Support Fund/Security Support Assistance",NA
"Ireland","Other Active Grant Programs",166
"Ireland","Other USAID Assistance",NA
"Israel","Department of Defense Security Assistance",NA
"Israel","Development Assistance",4500000
"Israel","Economic Support Fund/Security Support Assistance",NA
"Israel","Inactive Programs",NA
"Israel","Migration and Refugee Assistance",2.5e+07
"Israel","Narcotics Control",NA
"Israel","Nonproliferation, Anti-Terrorism, Demining and Related",NA
"Israel","Other Active Grant Programs",6434280
"Israel","Other State Assistance",NA
"Israel","Other USAID Assistance",NA
"Israel","Other USDA Assistance",350000
"Israel","Title I",NA
"Israel","Title II",NA
"Italy","Economic Support Fund/Security Support Assistance",NA
"Italy","Inactive Programs",NA
"Italy","Narcotics Control",NA
"Italy","Other Active Grant Programs",334717
"Italy","Other USAID Assistance",NA
"Italy","Other USDA Assistance",8222
"Italy","Title I",NA
"Italy","Title II",NA
"Jamaica","Child Survival and Health",NA
"Jamaica","Department of Defense Security Assistance",318496
"Jamaica","Development Assistance",12258179
"Jamaica","Economic Support Fund/Security Support Assistance",7162132
"Jamaica","Global Health and Child Survival",2640435
"Jamaica","Narcotics Control",1009499
"Jamaica","Nonproliferation, Anti-Terrorism, Demining and Related",256548
"Jamaica","Other Active Grant Programs",4524568
"Jamaica","Other Food Aid Programs",NA
"Jamaica","Other State Assistance",NA
"Jamaica","Other USAID Assistance",3253201
"Jamaica","Other USDA Assistance",163
"Jamaica","Peace Corps",2973500
"Jamaica","Title I",NA
"Jamaica","Title II",NA
"Japan","Economic Support Fund/Security Support Assistance",NA
"Japan","Inactive Programs",NA
"Japan","Other Active Grant Programs",817486
"Japan","Other USAID Assistance",NA
"Japan","Other USDA Assistance",733
"Japan","Title I",NA
"Japan","Title II",NA
"Jordan","Department of Defense Security Assistance",NA
"Jordan","Development Assistance",NA
"Jordan","Economic Support Fund/Security Support Assistance",362956266
"Jordan","Inactive Programs",NA
"Jordan","Migration and Refugee Assistance",25580828
"Jordan","Millennium Challenge Corporation",5327771
"Jordan","Narcotics Control",1627976
"Jordan","Nonproliferation, Anti-Terrorism, Demining and Related",36095731
"Jordan","Other Active Grant Programs",21657415
"Jordan","Other Food Aid Programs",NA
"Jordan","Other State Assistance",1157045
"Jordan","Other USAID Assistance",6946497
"Jordan","Other USDA Assistance",46367
"Jordan","Peace Corps",1907700
"Jordan","Title I",NA
"Jordan","Title II",NA
"Kazakhstan","Child Survival and Health",NA
"Kazakhstan","Department of Defense Security Assistance",164
"Kazakhstan","Development Assistance",14
"Kazakhstan","Economic Support Fund/Security Support Assistance",1e+05
"Kazakhstan","Global HIV/AIDS Initiative",NA
"Kazakhstan","Global Health and Child Survival",2234648
"Kazakhstan","Migration and Refugee Assistance",NA
"Kazakhstan","Narcotics Control",1333169
"Kazakhstan","Nonproliferation, Anti-Terrorism, Demining and Related",2235057
"Kazakhstan","Other Active Grant Programs",118365496
"Kazakhstan","Other Food Aid Programs",NA
"Kazakhstan","Other State Assistance",6857714
"Kazakhstan","Other USAID Assistance",25554783
"Kazakhstan","Other USDA Assistance",143992809
"Kazakhstan","Peace Corps",3821500
"Kenya","Child Survival and Health",NA
"Kenya","Development Assistance",79906343
"Kenya","Economic Support Fund/Security Support Assistance",11300000
"Kenya","Food For Education",7447951
"Kenya","Global HIV/AIDS Initiative",3326536
"Kenya","Global Health and Child Survival",467170778
"Kenya","Migration and Refugee Assistance",55719276
"Kenya","Millennium Challenge Corporation",3066
"Kenya","Narcotics Control",25000
"Kenya","Nonproliferation, Anti-Terrorism, Demining and Related",9754808
"Kenya","Other Active Grant Programs",32273296
"Kenya","Other Food Aid Programs",NA
"Kenya","Other State Assistance",1527979
"Kenya","Other USAID Assistance",42121518
"Kenya","Other USDA Assistance",77755
"Kenya","Peace Corps",2714100
"Kenya","Title I",NA
"Kenya","Title II",102819400
"Kiribati","Peace Corps",NA
"Korea, North","Economic Support Fund/Security Support Assistance",NA
"Korea, North","Migration and Refugee Assistance",NA
"Korea, North","Nonproliferation, Anti-Terrorism, Demining and Related",NA
"Korea, North","Other Active Grant Programs",NA
"Korea, North","Other Food Aid Programs",NA
"Korea, North","Other State Assistance",1454990
"Korea, North","Other USAID Assistance",600001
"Korea, North","Title II",2904400
"Korea, South","Economic Support Fund/Security Support Assistance",NA
"Korea, South","Inactive Programs",NA
"Korea, South","Migration and Refugee Assistance",NA
"Korea, South","Narcotics Control",NA
"Korea, South","Nonproliferation, Anti-Terrorism, Demining and Related",NA
"Korea, South","Other Active Grant Programs",1352330
"Korea, South","Other State Assistance",NA
"Korea, South","Other USAID Assistance",NA
"Korea, South","Other USDA Assistance",244
"Korea, South","Peace Corps",NA
"Korea, South","Title I",NA
"Korea, South","Title II",NA
"Kosovo","Child Survival and Health",NA
"Kosovo","Economic Support Fund/Security Support Assistance",NA
"Kosovo","Migration and Refugee Assistance",1600723
"Kosovo","Narcotics Control",27661076
"Kosovo","Nonproliferation, Anti-Terrorism, Demining and Related",712551
"Kosovo","Other Active Grant Programs",895165
"Kosovo","Other State Assistance",587160
"Kosovo","Other USAID Assistance",137223988
"Kosovo","Other USDA Assistance",68000
"Kosovo","Title I",NA
"Kuwait","Economic Support Fund/Security Support Assistance",NA
"Kuwait","Nonproliferation, Anti-Terrorism, Demining and Related",NA
"Kuwait","Other Active Grant Programs",NA
"Kuwait","Other State Assistance",NA
"Kyrgyzstan","Child Survival and Health",NA
"Kyrgyzstan","Department of Defense Security Assistance",31000
"Kyrgyzstan","Development Assistance",NA
"Kyrgyzstan","Economic Support Fund/Security Support Assistance",6e+05
"Kyrgyzstan","Food For Education",NA
"Kyrgyzstan","Global HIV/AIDS Initiative",NA
"Kyrgyzstan","Global Health and Child Survival",1680061
"Kyrgyzstan","Migration and Refugee Assistance",13995230
"Kyrgyzstan","Millennium Challenge Corporation",3303790
"Kyrgyzstan","Narcotics Control",1793646
"Kyrgyzstan","Nonproliferation, Anti-Terrorism, Demining and Related",1292703
"Kyrgyzstan","Other Active Grant Programs",8000173
"Kyrgyzstan","Other Food Aid Programs",NA
"Kyrgyzstan","Other State Assistance",8061478
"Kyrgyzstan","Other USAID Assistance",73741874
"Kyrgyzstan","Other USDA Assistance",78000
"Kyrgyzstan","Peace Corps",2243700
"Kyrgyzstan","Title I",NA
"Kyrgyzstan","Title II",125000
"Laos","Child Survival and Health",NA
"Laos","Department of Defense Security Assistance",NA
"Laos","Development Assistance",1548259
"Laos","Economic Support Fund/Security Support Assistance",24999
"Laos","Food For Education",1570753
"Laos","Global Health and Child Survival",725297
"Laos","Migration and Refugee Assistance",589804
"Laos","Narcotics Control",1285999
"Laos","Nonproliferation, Anti-Terrorism, Demining and Related",5116602
"Laos","Other Active Grant Programs",574401
"Laos","Other Food Aid Programs",NA
"Laos","Other State Assistance",202795
"Laos","Other USAID Assistance",350940
"Laos","Other USDA Assistance",68735
"Laos","Peace Corps",NA
"Laos","Title II",2714800
"Latin America & Caribbean (not specified)","Child Survival and Health",NA
"Latin America & Caribbean (not specified)","Department of Defense Security Assistance",260577
"Latin America & Caribbean (not specified)","Development Assistance",24894149
"Latin America & Caribbean (not specified)","Economic Support Fund/Security Support Assistance",9376026
"Latin America & Caribbean (not specified)","Global HIV/AIDS Initiative",NA
"Latin America & Caribbean (not specified)","Global Health and Child Survival",7827922
"Latin America & Caribbean (not specified)","Inactive Programs",NA
"Latin America & Caribbean (not specified)","Migration and Refugee Assistance",29499481
"Latin America & Caribbean (not specified)","Millennium Challenge Corporation",NA
"Latin America & Caribbean (not specified)","Narcotics Control",2314027
"Latin America & Caribbean (not specified)","Nonproliferation, Anti-Terrorism, Demining and Related",743362
"Latin America & Caribbean (not specified)","Other Active Grant Programs",18222692
"Latin America & Caribbean (not specified)","Other Food Aid Programs",NA
"Latin America & Caribbean (not specified)","Other State Assistance",5124386
"Latin America & Caribbean (not specified)","Other USAID Assistance",15380633
"Latin America & Caribbean (not specified)","Other USDA Assistance",1134417
"Latin America & Caribbean (not specified)","Peace Corps",NA
"Latin America & Caribbean (not specified)","Title II",NA
"Latin America & Caribbean (not specified)","Voluntary Contributions to Multilateral Organizations, Total",241670000
"Latvia","Child Survival and Health",NA
"Latvia","Department of Defense Security Assistance",NA
"Latvia","Migration and Refugee Assistance",NA
"Latvia","Narcotics Control",NA
"Latvia","Nonproliferation, Anti-Terrorism, Demining and Related",4150
"Latvia","Other Active Grant Programs",3275475
"Latvia","Other State Assistance",NA
"Latvia","Other USAID Assistance",NA
"Latvia","Peace Corps",NA
"Latvia","Title I",NA
"Lebanon","Child Survival and Health",2454
"Lebanon","Department of Defense Security Assistance",NA
"Lebanon","Development Assistance",4e+06
"Lebanon","Economic Support Fund/Security Support Assistance",90906208
"Lebanon","Food For Education",NA
"Lebanon","Inactive Programs",NA
"Lebanon","Migration and Refugee Assistance",24461424
"Lebanon","Narcotics Control",7062099
"Lebanon","Nonproliferation, Anti-Terrorism, Demining and Related",7588954
"Lebanon","Other Active Grant Programs",8015241
"Lebanon","Other Food Aid Programs",NA
"Lebanon","Other State Assistance",2381858
"Lebanon","Other USAID Assistance",12026914
"Lebanon","Title I",NA
"Lebanon","Title II",NA
"Lesotho","Child Survival and Health",NA
"Lesotho","Department of Defense Security Assistance",NA
"Lesotho","Development Assistance",90000
"Lesotho","Economic Support Fund/Security Support Assistance",NA
"Lesotho","Global HIV/AIDS Initiative",173056
"Lesotho","Global Health and Child Survival",37851304
"Lesotho","Millennium Challenge Corporation",14120672
"Lesotho","Nonproliferation, Anti-Terrorism, Demining and Related",NA
